
Il Codice Da Vinci,9788804689650,12,18.50,2003-03-18,Dan Brown
Cent'anni di solitudine,9788804680879,8,15.99,1967-05-30,Gabriel Garcia Marquez
L'ombra del vento,9788804677704,15,11.20,2001-01-01,Carlos Ruiz Zafon, Ray Bradbury
1984,9788804676158,20,9.90,1949-06-08,George Orwell
Orgoglio e Pregiudizio,9788804676165,7,10.50,1813-01-28,Jane Austen, Autore A
Furore,9788804676172,10,14.75,1939-04-14,John Steinbeck
Delitto e Castigo,9788804676189,5,12.00,1866-01-01,Fëdor Dostoevskij
Il nome della rosa,9788804676196,18,22.90,1980-01-01,Umberto Eco
Harry Potter e la Pietra Filosofale,9788804676202,30,16.00,1997-06-26,J.K. Rowling
Moby Dick,9788804676219,4,19.50,1851-10-18,Herman Melville
Siddharta,9788804676226,9,8.99,1922-01-01,Hermann Hesse
Cronache Marziane,9788804676233,14,13.50,1950-01-01,Ray Bradbury
Il Piccolo Principe,9788804676240,25,7.50,1943-04-06,Antoine de Saint-Exupéry
L'insostenibile leggerezza dell'essere,9788804676257,6,17.00,1984-01-01,Milan Kundera
Sulla Strada,9788804676264,11,15.00,1957-09-05,Jack Kerouac
